Class,Accuracy,Precision,Recall,F1-Score,Support
Pepper__bell___Bacterial_spot,0.5879396984924623,0.6685714285714286,0.5879396984924623,0.6256684491978609,199
Pepper__bell___healthy,0.8682432432432432,0.8006230529595015,0.8682432432432432,0.833063209076175,296
Potato___Early_blight,0.78,0.7839195979899497,0.78,0.7819548872180451,200
Potato___Late_blight,0.67,0.67,0.67,0.67,200
Potato___healthy,0.3333333333333333,0.45454545454545453,0.3333333333333333,0.38461538461538464,30
Tomato_Bacterial_spot,0.6901408450704225,0.7050359712230215,0.6901408450704225,0.697508896797153,426
Tomato_Early_blight,0.285,0.3496932515337423,0.285,0.3140495867768595,200
Tomato_Late_blight,0.6570680628272252,0.6435897435897436,0.6570680628272252,0.6502590673575129,382
Tomato_Leaf_Mold,0.5736842105263158,0.5797872340425532,0.5736842105263158,0.5767195767195767,190
Tomato_Septoria_leaf_spot,0.4774011299435028,0.5044776119402985,0.4774011299435028,0.49056603773584906,354
Tomato_Spider_mites_Two_spotted_spider_mite,0.7671641791044777,0.747093023255814,0.7671641791044777,0.7569955817378498,335
Tomato__Target_Spot,0.5266903914590747,0.550185873605948,0.5266903914590747,0.5381818181818182,281
Tomato__Tomato_YellowLeaf__Curl_Virus,0.7772585669781932,0.7370753323485968,0.7772585669781932,0.756633813495072,642
Tomato__Tomato_mosaic_virus,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,75
Tomato_healthy,0.8616352201257862,0.7762039660056658,0.8616352201257862,0.8166915052160953,318
── WEIGHTED AVG ──,0.6710271317829458,0.6643032810614435,0.6710271317829457,0.6668842916738268,4128
