Class,Accuracy,Precision,Recall,F1-Score,Support
Pepper__bell___Bacterial_spot,0.9748743718592965,0.9847715736040609,0.9748743718592965,0.9797979797979798,199
Pepper__bell___healthy,0.9966216216216216,0.9866220735785953,0.9966216216216216,0.9915966386554622,296
Potato___Early_blight,0.97,1.0,0.97,0.9847715736040609,200
Potato___Late_blight,0.965,0.9698492462311558,0.965,0.9674185463659147,200
Potato___healthy,0.9333333333333333,1.0,0.9333333333333333,0.9655172413793104,30
Tomato_Bacterial_spot,0.9694835680751174,0.9649532710280374,0.9694835680751174,0.9672131147540983,426
Tomato_Early_blight,0.915,0.9014778325123153,0.915,0.9081885856079405,200
Tomato_Late_blight,0.9712041884816754,0.9440203562340967,0.9712041884816754,0.9574193548387097,382
Tomato_Leaf_Mold,0.9526315789473684,0.9526315789473684,0.9526315789473684,0.9526315789473684,190
Tomato_Septoria_leaf_spot,0.9689265536723164,0.9772079772079773,0.9689265536723164,0.9730496453900709,354
Tomato_Spider_mites_Two_spotted_spider_mite,0.9492537313432836,0.9754601226993865,0.9492537313432836,0.962178517397882,335
Tomato__Target_Spot,0.9857651245551602,0.9022801302931596,0.9857651245551602,0.9421768707482994,281
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9704049844236761,0.9920382165605095,0.9704049844236761,0.9811023622047244,642
Tomato__Tomato_mosaic_virus,0.9333333333333333,0.9859154929577465,0.9333333333333333,0.958904109589041,75
Tomato_healthy,0.9874213836477987,1.0,0.9874213836477987,0.9936708860759493,318
── WEIGHTED AVG ──,0.968265503875969,0.9690030622254141,0.968265503875969,0.9684143863410419,4128
