Class,Accuracy,Precision,Recall,F1-Score,Support
Pepper__bell___Bacterial_spot,1.0,0.9900497512437811,1.0,0.995,199
Pepper__bell___healthy,1.0,1.0,1.0,1.0,296
Potato___Early_blight,1.0,1.0,1.0,1.0,200
Potato___Late_blight,0.99,0.9949748743718593,0.99,0.9924812030075187,200
Potato___healthy,1.0,1.0,1.0,1.0,30
Tomato_Bacterial_spot,0.9788732394366197,0.9976076555023924,0.9788732394366197,0.9881516587677726,426
Tomato_Early_blight,0.985,0.9162790697674419,0.985,0.9493975903614458,200
Tomato_Late_blight,0.9581151832460733,0.997275204359673,0.9581151832460733,0.9773030707610146,382
Tomato_Leaf_Mold,0.9947368421052631,1.0,0.9947368421052631,0.9973614775725593,190
Tomato_Septoria_leaf_spot,0.9887005649717514,0.9915014164305949,0.9887005649717514,0.9900990099009901,354
Tomato_Spider_mites_Two_spotted_spider_mite,1.0,0.9882005899705014,1.0,0.9940652818991098,335
Tomato__Target_Spot,0.9857651245551602,0.9753521126760564,0.9857651245551602,0.9805309734513274,281
Tomato__Tomato_YellowLeaf__Curl_Virus,1.0,0.9984447900466563,1.0,0.9992217898832685,642
Tomato__Tomato_mosaic_virus,1.0,1.0,1.0,1.0,75
Tomato_healthy,0.9968553459119497,0.9937304075235109,0.9968553459119497,0.9952904238618524,318
── WEIGHTED AVG ──,0.9903100775193798,0.9906325450958667,0.9903100775193798,0.9903586931813132,4128
